ParticipantID,Proficiency,WritingType,Item,N400_Amp,P600_Amp,Electrode
P29,Low,Generic,Item2,-3.5,1.2,Pz
P29,Low,Inclusive,Item1,-7.4,4.7,Pz
P29,Low,Inclusive,Item2,-7.1,4.3,Pz
P30,Low,Generic,Item1,-3.0,1.3,Pz
P30,Low,Generic,Item2,-3.3,1.1,Pz
P30,Low,Inclusive,Item1,-6.6,4.0,Pz
P30,Low,Inclusive,Item2,-7.0,4.2,Pz
P31,Low,Generic,Item1,-3.4,1.5,Pz
P31,Low,Generic,Item2,-3.5,1.3,Pz
P31,Low,Inclusive,Item1,-7.0,4.5,Pz
P31,Low,Inclusive,Item2,-6.7,3.9,Pz
P32,Low,Generic,Item1,-3.2,1.2,Pz
P32,Low,Generic,Item2,-3.1,1.1,Pz
P32,Low,Inclusive,Item1,-7.2,4.3,Pz
P32,Low,Inclusive,Item2,-6.9,4.2,Pz
P33,Low,Generic,Item1,-3.1,1.4,Pz
P33,Low,Generic,Item2,-3.3,1.0,Pz
P33,Low,Inclusive,Item1,-6.7,3.7,Pz
P33,Low,Inclusive,Item2,-7.0,4.1,Pz
P34,Low,Generic,Item1,-3.5,1.2,Pz
P34,Low,Generic,Item2,-3.2,1.3,Pz
P34,Low,Inclusive,Item1,-7.4,4.6,Pz
P34,Low,Inclusive,Item2,-7.1,4.4,Pz
P35,Low,Generic,Item1,-3.0,1.1,Pz
P35,Low,Generic,Item2,-3.4,1.2,Pz
P35,Low,Inclusive,Item1,-6.9,4.0,Pz
P35,Low,Inclusive,Item2,-7.2,4.2,Pz
P36,Low,Generic,Item1,-3.3,1.3,Pz
P36,Low,Generic,Item2,-3.1,1.0,Pz
P36,Low,Inclusive,Item1,-7.1,4.5,Pz
P36,Low,Inclusive,Item2,-6.8,3.8,Pz
P37,Low,Generic,Item1,-3.2,1.4,Pz
P37,Low,Generic,Item2,-3.5,1.1,Pz
P37,Low,Inclusive,Item1,-7.3,4.7,Pz
P37,Low,Inclusive,Item2,-6.9,4.1,Pz
P38,Low,Generic,Item1,-3.1,1.2,Pz
P38,Low,Generic,Item2,-3.4,1.1,Pz
P38,Low,Inclusive,Item1,-6.6,3.9,Pz
P38,Low,Inclusive,Item2,-6.8,4.0,Pz
P39,Low,Generic,Item1,-3.4,1.3,Pz
P39,Low,Generic,Item2,-3.2,1.0,Pz
P39,Low,Inclusive,Item1,-7.2,4.4,Pz
P39,Low,Inclusive,Item2,-7.1,4.2,Pz
P40,Low,Generic,Item1,-3.0,1.4,Pz
P40,Low,Generic,Item2,-3.3,1.2,Pz
P40,Low,Inclusive,Item1,-6.9,4.1,Pz
P40,Low,Inclusive,Item2,-7.0,4.3,Pz
