time_s,Fp1,Fp2,F3,F4,C3,C4,O1,O2
0.1055,-6.069,-9.39,1.682,-2.137,-7.951,-2.464,9.639,9.049
0.1094,-4.95,-15.481,-0.903,-2.413,-11.631,-2.087,13.391,8.142
0.1133,-0.116,-10.352,-1.415,-4.309,-11.529,-1.331,11.755,9.807
0.1172,3.695,-13.031,1.369,-1.895,-10.333,-3.774,11.112,9.992
0.1211,4.767,-7.842,1.032,-1.742,-10.609,-4.925,13.158,14.443
0.125,6.839,-9.526,3.661,-4.094,-9.892,-6.479,16.481,16.383
0.1289,9.296,-7.936,8.071,-4.682,-7.561,-3.674,11.748,13.948
0.1328,13.04,-4.967,10.438,0.077,-5.984,5.388,17.916,18.12
0.1367,12.762,-7.503,7.566,-5.173,-4.767,1.839,13.572,16.885
0.1406,11.59,-5.334,6.06,-2.065,-4.408,8.465,14.844,11.037
0.1445,8.834,-1.248,4.846,-6.945,-10.051,7.288,17.09,10.862
0.1484,10.73,2.441,2.169,-8.148,-8.532,8.941,14.938,9.903
0.1523,10.448,-1.685,5.81,-8.138,-8.197,9.06,14.202,8.278
0.1562,9.929,-3.341,-0.864,-10.149,-6.657,14.632,15.891,3.204
0.1602,9.947,0.435,2.702,-6.316,-10.517,19.598,12.211,5.002
0.1641,7.478,-2.99,1.52,-9.799,-11.213,18.561,10.304,3.703
0.168,7.952,-2.367,-3.853,-3.696,-13.014,14.754,5.069,3.544
0.1719,6.979,-4.914,-1.1,-9.155,-7.975,10.8,3.904,-2.133
0.1758,7.585,-2.703,-1.218,-4.588,-7.708,10.756,-3.073,-2.288
0.1797,7.469,-2.194,-0.513,-2.066,-7.818,10.962,-4.324,-2.029
0.1836,1.288,-1.341,-0.591,-1.914,-7.267,14.944,-7.225,-2.319
0.1875,0.999,-5.315,6.132,-5.507,-5.404,14.666,-6.805,-5.074
0.1914,-1.385,-0.466,-0.998,-6.032,-10.348,10.365,-11.641,-6.83
0.1953,-2.657,-5.203,2.351,-6.908,-9.857,8.191,-10.738,-12.424
0.1992,-1.856,-6.138,3.232,-7.301,-4.776,11.414,-11.057,-10.254
0.2031,2.108,-3.837,1.894,-13.19,-6.098,6.282,-4.739,-12.332
0.207,-2.316,-9.256,2.742,-9.458,-4.139,7.821,-8.948,-10.541
0.2109,1.693,-13.077,2.476,-8.398,-3.888,6.995,-9.857,-6.333
0.2148,-2.602,-13.272,8.095,-9.398,-3.203,1.687,-7.914,-11.954
0.2188,2.175,-9.917,12.569,-8.488,-0.957,-0.623,-6.105,-8.431
0.2227,5.978,-8.677,15.198,-10.6,5.329,-2.608,-9.963,-8.082
0.2266,9.372,-12.204,17.611,-13.762,9.969,1.186,-9.199,-2.231
0.2305,10.978,-9.648,20.517,-17.719,12.78,2.687,-5.669,2.195
0.2344,11.134,-7.896,20.687,-14.327,9.816,-0.165,-5.989,1.794
0.2383,8.158,-7.601,20.148,-17.41,15.448,-0.308,-6.798,1.155
0.2422,7.508,-2.491,18.446,-18.218,12.656,-0.169,-8.555,3.258
0.2461,10.461,0.83,19.283,-18.091,12.683,2.605,-5.456,0.692
0.25,9.102,5.31,18.463,-17.723,14.662,4.027,-7.331,1.741
0.2539,7.427,6.374,17.179,-20.698,16.826,7.83,-4.152,1.902
0.2578,7.625,3.539,13.882,-17.858,15.494,11.096,0.611,-5.296
0.2617,7.739,4.299,12.194,-19.104,12.691,10.353,-0.476,-0.412
0.2656,10.748,7.467,11.776,-12.898,14.056,10.497,-4.033,-3.453
0.2695,11.075,7.031,10.928,-11.246,12.744,9.921,-10.597,-3.597
0.2734,13.657,11.326,13.038,-6.839,11.993,9.655,-10.244,1.118
0.2773,12.411,11.221,8.951,-8.4,12.046,10.186,-9.546,-2.153
0.2812,13.343,10.101,7.975,-5.331,13.427,13.61,-8.73,2.202
0.2852,12.905,10.769,7.655,-0.094,10.355,9.09,-11.385,-5.862
0.2891,9.389,16.681,4.744,-0.36,5.186,15.652,-10.001,-7.795
0.293,9.952,14.813,7.142,-1.463,7.459,12.442,-6.038,-6.889
0.2969,7.751,19.162,6.222,5.954,3.414,13.499,-7.726,-11.12
0.3008,8.954,14.286,1.37,-1.139,6.616,14.419,-6.126,-10.76
0.3047,9.401,14.02,-0.575,1.953,-0.433,12.218,-6.627,-11.889
0.3086,7.881,15.887,0.278,4.803,0.723,11.537,-6.875,-12.256
0.3125,11.384,7.269,-1.807,6.887,-1.269,9.666,-6.347,-13.114
0.3164,10.26,5.021,-0.488,7.475,-1.64,8.687,-8.272,-12.469
0.3203,12.808,11.665,4.942,7.827,0.948,8.157,-5.59,-11.027
0.3242,15.473,7.819,5.004,7.274,7.928,4.149,-5.081,-7.601
0.3281,16.225,9.468,4.3,4.978,6.892,6.148,-7.415,-9.46
0.332,15.906,8.26,4.558,11.25,6.158,0.256,-5.033,-8.817
0.3359,12.269,10.382,-1.367,6.205,4.139,4.068,-2.863,-9.428
0.3398,9.068,9.149,5.362,6.852,4.033,6.723,-2.72,-6.912
0.3438,7.627,12.242,3.062,3.071,6.438,3.806,-5.588,-10.131
0.3477,2.889,14.449,2.928,0.726,6.758,2.986,-7.187,-16.324
0.3516,1.954,11.158,-0.537,-1.123,8.058,4.47,-4.61,-16.65
0.3555,0.315,10.188,-3.408,-3.525,3.839,0.703,-3.106,-14.424
0.3594,-1.419,8.968,-5.249,0.393,7.474,4.589,-10.837,-12.662
0.3633,-0.9,5.495,-3.824,1.545,9.052,7.107,-6.192,-13.933
0.3672,-4.975,7.122,-4.26,5.931,10.432,1.287,-13.099,-13.37
0.3711,-4.464,8.265,-1.155,1.7,4.621,-0.919,-15.433,-14.416
0.375,-1.395,6.987,-6.082,3.138,8.404,-6.298,-16.433,-10.017
0.3789,-5.661,6.392,-4.578,2.995,9.242,-5.841,-15.721,-9.804
0.3828,-5.517,5.818,0.132,8.606,10.93,-1.107,-19.093,-10.46
0.3867,-11.519,3.906,-5.075,4.807,6.901,-3.658,-18.043,-8.716
0.3906,-12.326,6.637,-3.762,7.677,11.285,-9.273,-16.678,-15.327
0.3945,-14.905,8.344,-4.781,7.49,7.187,-9.452,-16.47,-12.846
0.3984,-13.596,4.065,-2.815,3.858,6.669,-8.95,-13.949,-11.931
0.4023,-10.597,4.303,-5.904,0.602,10.011,-11.324,-12.314,-9.459
0.4062,-15.126,0.39,-5.335,1.039,6.317,-13.115,-7.437,-12.131
0.4102,-10.22,-0.632,-2.57,6.83,6.431,-10.532,-4.872,-7.424
0.4141,-9.494,0.695,-3.692,3.951,3.888,-11.193,-4.119,-4.443
0.418,-9.015,-1.158,1.738,7.831,3.547,-13.534,-4.581,-2.206
0.4219,-7.752,-4.707,3.693,6.976,7.046,-14.542,-2.259,2.182
0.4258,-1.847,0.788,4.939,6.914,14.826,-19.6,-0.282,4.955
0.4297,-1.302,3.198,3.038,6.866,13.015,-15.47,5.725,6.65
0.4336,0.479,1.371,8.953,4.247,12.174,-14.851,4.792,10.18
0.4375,-0.649,5.654,4.398,4.244,8.475,-13.354,3.555,8.886
0.4414,1.797,4.882,2.518,7.011,10.803,-12.446,3.146,9.016
0.4453,-2.003,5.892,-1.218,3.047,5.123,-11.59,6.197,9.693
0.4492,-3.261,10.758,-2.215,-2.343,3.723,-13.656,8.446,7.928
0.4531,-0.771,7.125,-2.446,4.438,4.32,-2.195,12.502,9.004
0.457,-1.278,9.304,-4.845,2.623,7.122,-1.305,11.411,10.158
0.4609,-0.032,11.463,-7.138,8.281,4.31,-3.756,14.906,8.895
0.4648,-1.848,4.867,-9.226,12.869,-2.722,-0.06,8.147,8.717
0.4688,-2.803,6.563,-13.649,12.167,-4.484,-2.725,5.727,9.957
0.4727,-0.053,7.436,-11.007,15.466,-6.844,-3.148,7.316,6.523
0.4766,-5.16,9.038,-16.058,14.964,-3.806,-3.612,5.189,4.526
0.4805,-5.02,7.35,-18.395,19.3,-4.919,-0.466,3.854,6.454
0.4844,-7.779,9.621,-16.314,15.578,-6.063,-3.028,4.283,5.226
0.4883,-9.347,7.865,-16.383,18.655,-8.726,-4.257,2.966,3.242
0.4922,-13.4,6.426,-15.942,19.78,-13.425,-0.809,3.831,2.416
0.4961,-10.381,4.835,-17.409,16.731,-13.473,-4.125,2.938,-5.815
0.5,-12.313,3.27,-18.517,17.853,-16.839,-4.139,4.518,-0.088
0.5039,-14.918,-2.61,-22.661,13.808,-15.105,-2.37,7.266,0.809
0.5078,-14.367,-3.118,-20.976,18.892,-18.082,-5.722,10.227,-1.32
0.5117,-12.016,-10.458,-22.241,19.445,-16.761,-7.237,10.836,-0.969
0.5156,-10.569,-8.715,-20.397,15.621,-16.466,-8.589,7.076,-2.148
0.5195,-6.853,-9.048,-11.772,14.883,-15.134,-15.17,6.233,-0.339
0.5234,-3.11,-11.615,-12.25,13.995,-10.665,-13.546,5.193,3.433
0.5273,-6.716,-13.131,-7.344,6.908,-12.386,-16.15,6.984,6.23
0.5312,-9.448,-12.743,-5.601,4.658,-9.345,-12.829,7.3,8.821
0.5352,-12.938,-19.468,-7.602,7.954,-6.908,-13.296,9.181,9.75
0.5391,-9.805,-12.365,-3.513,3.695,-8.996,-13.576,2.394,10.169
0.543,-13.164,-11.738,-4.708,-0.416,-6.484,-17.373,5.634,9.4
0.5469,-12.763,-10.377,-6.779,-3.469,-5.542,-13.276,7.542,5.705
0.5508,-13.16,-8.687,-3.585,-11.202,-1.287,-13.429,8.226,10.092
0.5547,-12.468,-11.22,-5.816,-8.263,-3.354,-8.946,7.598,13.099
0.5586,-10.738,-14.721,-6.083,-9.243,-2.08,-12.094,6.931,9.899
0.5625,-13.183,-13.505,-0.371,-4.895,-4.244,-10.461,9.818,12.951
0.5664,-13.665,-12.824,-5.68,-3.853,-6.012,-5.87,4.634,8.03
0.5703,-14.252,-11.79,-0.299,-4.389,-3.802,-8.362,0.87,10.321
0.5742,-13.899,-10.854,-2.333,-4.75,-1.276,-9.843,5.231,10.412
0.5781,-10.389,-8.817,1.4,-8.218,0.442,-10.125,4.325,15.975
0.582,-9.485,-13.106,-0.039,-3.162,-2.694,-9.408,3.207,17.266
0.5859,-6.622,-10.302,0.342,-2.08,-7.376,-6.172,1.426,13.243
0.5898,-10.557,-7.123,-1.69,-0.475,-9.519,-7.043,2.928,14.253
0.5938,-8.527,-11.931,-0.926,0.652,-8.262,-2.935,6.282,13.664
0.5977,-10.031,-7.443,2.105,-8.136,-13.125,-5.364,2.535,9.589
0.6016,-9.364,-9.537,2.798,-6.278,-5.462,-3.15,5.394,10.18
0.6055,-6.975,-10.705,-0.59,-6.601,-8.751,-4.355,9.861,12.066
0.6094,-4.773,-13.463,-3.051,-3.367,-12.38,-1.526,12.576,9.363
0.6133,2.909,-12.768,1.073,-2.114,-14.098,-0.877,11.918,11.396
0.6172,-0.205,-8.261,7.621,-1.777,-9.445,-3.0,13.916,15.781
0.6211,6.672,-13.193,5.016,0.571,-12.069,-3.792,14.847,11.572
0.625,6.713,-11.69,8.784,-4.392,-9.659,-1.569,13.939,16.066
0.6289,12.809,-10.95,4.557,-4.825,-7.481,2.455,15.488,17.096
0.6328,12.508,-3.87,5.891,-4.985,-5.274,1.707,15.463,16.286
0.6367,10.962,-6.633,7.352,-3.939,-4.85,5.44,14.741,16.027
0.6406,10.422,-3.4,7.038,-6.679,-4.54,5.901,11.566,16.902
0.6445,8.856,-1.66,4.177,-6.169,-5.249,8.65,11.852,12.137
0.6484,11.158,-1.102,2.463,-8.428,-7.336,7.821,11.585,10.641
0.6523,9.305,0.507,3.667,-10.835,-5.441,11.648,14.5,11.153
0.6562,7.041,4.912,1.897,-7.204,-9.588,14.217,14.919,6.046
0.6602,5.648,1.572,1.495,-7.571,-13.103,16.906,9.658,2.646
0.6641,7.376,-3.49,2.341,-3.581,-11.695,17.031,9.406,5.967
0.668,9.753,-0.287,-0.103,-4.965,-11.802,14.455,3.728,0.658
0.6719,7.164,-2.864,-0.391,-4.267,-10.206,14.851,0.043,0.992
0.6758,6.77,-4.898,2.822,-5.259,-9.304,11.544,-1.536,-2.721
0.6797,6.778,-0.14,1.073,-3.789,-7.432,14.438,-4.537,-0.834
0.6836,6.815,-0.881,-2.436,-1.734,-5.508,14.419,-3.194,-5.096
0.6875,2.077,-1.681,-1.927,-3.733,-4.228,12.757,-7.028,-5.141
0.6914,-1.266,-4.72,2.141,-2.656,-11.788,10.242,-6.951,-9.334
0.6953,0.834,-4.167,1.538,-7.156,-10.749,10.224,-10.241,-11.928
0.6992,-0.449,-3.273,1.946,-6.155,-8.863,6.529,-9.653,-11.654
0.7031,2.19,-6.129,4.043,-10.286,-4.719,8.636,-3.952,-15.434
0.707,-0.218,-10.466,4.039,-7.729,-5.888,8.318,-10.213,-12.574
0.7109,-2.693,-15.212,7.225,-8.899,-6.139,3.411,-4.715,-8.184
0.7148,-1.973,-12.734,4.019,-5.79,-1.699,4.361,-5.101,-8.462
0.7188,6.147,-10.465,12.053,-11.847,1.653,-1.849,-7.947,-10.021
0.7227,9.1,-14.004,15.932,-14.0,3.629,-2.036,-10.392,-4.437
0.7266,7.841,-9.293,13.417,-13.912,6.012,-1.568,-6.267,-4.293
0.7305,8.789,-8.9,16.382,-16.616,11.153,-2.603,-8.894,1.543
0.7344,12.47,-6.576,17.132,-17.359,11.72,-0.229,-9.157,1.224
0.7383,6.641,-3.884,20.049,-14.261,12.356,0.362,-8.425,0.738
0.7422,6.644,-3.769,24.046,-17.069,12.347,-0.61,-8.53,0.419
0.7461,10.032,-2.415,24.528,-20.008,16.043,3.737,-8.261,5.15
0.75,8.695,1.963,17.273,-21.331,15.5,3.599,-2.39,-1.416
0.7539,9.968,5.738,17.727,-21.816,17.235,12.6,-4.452,0.924
0.7578,9.564,3.113,15.956,-15.665,17.086,10.051,-2.311,2.019
0.7617,10.253,3.339,14.841,-17.686,14.12,8.821,-5.967,-2.184
0.7656,12.569,2.496,14.95,-16.033,11.368,8.907,-4.846,-4.485
0.7695,10.972,11.706,14.838,-9.534,14.545,12.587,-9.05,-3.141
0.7734,13.564,11.8,16.883,-9.729,14.07,9.472,-10.189,-0.313
0.7773,9.165,12.937,14.096,-3.241,18.669,8.342,-8.406,-2.087
0.7812,12.929,13.975,7.856,-5.9,13.227,13.793,-6.273,-2.045
0.7852,9.967,13.836,10.034,-0.52,11.915,11.8,-8.004,-1.225
0.7891,7.57,13.298,9.2,1.989,8.518,13.81,-8.491,-7.241
0.793,7.282,14.798,7.013,-0.288,5.567,14.042,-9.832,-8.592
0.7969,8.407,15.026,7.004,-0.635,3.857,12.828,-9.199,-13.465
0.8008,11.512,20.583,2.845,2.501,4.02,17.761,-4.982,-10.733
0.8047,7.512,14.55,0.7,3.232,3.415,10.184,-5.719,-11.206
0.8086,10.334,10.174,-0.554,1.288,3.393,11.73,-1.928,-10.38
0.8125,9.442,10.314,-4.416,4.095,0.749,11.219,-1.418,-14.796
0.8164,10.544,6.794,0.917,2.781,-0.614,13.703,-6.596,-13.212
0.8203,14.789,12.101,1.213,9.387,1.268,10.354,-7.129,-14.867
0.8242,15.587,8.15,0.863,7.22,1.741,7.894,-6.94,-11.322
0.8281,18.006,10.512,5.965,6.886,9.927,3.344,-8.418,-6.092
0.832,14.267,11.563,3.715,3.567,6.659,3.637,-6.268,-8.671
0.8359,11.074,10.615,2.528,4.449,9.731,3.182,-3.198,-11.115
0.8398,9.467,11.239,1.525,4.702,8.029,2.822,-8.727,-11.211
0.8438,8.271,12.624,2.87,2.395,8.118,7.134,-4.478,-14.733
0.8477,6.616,13.437,2.89,1.671,7.79,4.156,-7.704,-15.117
0.8516,2.679,12.021,-2.966,0.955,6.931,5.561,-1.859,-11.422
0.8555,3.142,10.689,-3.516,4.113,6.446,8.308,-7.173,-15.657
0.8594,1.032,12.622,-2.963,0.674,11.114,3.285,-7.11,-12.498
0.8633,3.335,8.135,-8.43,4.59,7.225,5.098,-10.977,-13.815
0.8672,0.589,6.395,-3.751,1.928,9.437,0.259,-13.385,-15.463
0.8711,-5.415,6.995,-3.75,0.743,11.18,-0.579,-11.687,-13.61
0.875,-4.568,9.987,-3.177,3.588,9.186,-2.807,-14.774,-14.687
0.8789,-7.876,8.286,-4.498,1.597,11.798,-3.855,-14.303,-9.667
0.8828,-8.174,6.979,-3.683,5.75,10.729,-3.036,-19.501,-12.011
0.8867,-9.02,4.702,0.024,4.985,7.026,-4.45,-16.164,-11.779
0.8906,-9.503,6.402,-3.932,2.644,7.549,-7.118,-19.671,-13.04
0.8945,-14.463,4.185,-2.432,9.022,8.275,-7.449,-19.582,-11.297
0.8984,-14.226,4.475,0.503,3.075,5.917,-10.629,-14.233,-11.117
0.9023,-16.572,5.272,-5.532,0.081,6.175,-7.568,-11.209,-15.907
0.9062,-11.997,2.618,-1.334,5.564,6.002,-9.519,-8.717,-8.192
0.9102,-13.213,-3.327,-4.257,3.654,9.853,-11.181,-5.549,-10.392
0.9141,-11.028,-4.148,1.269,8.652,1.721,-13.928,-4.365,-5.926
0.918,-9.58,-1.958,1.661,5.58,7.291,-15.2,-2.496,-3.377
0.9219,-5.049,2.292,2.662,5.666,7.76,-12.551,-6.517,-0.895
0.9258,-5.507,-3.951,2.698,6.849,9.171,-16.62,0.98,4.433
0.9297,-3.177,1.289,1.509,7.109,11.194,-17.875,4.136,8.211
0.9336,4.272,-0.937,2.622,7.651,12.96,-12.477,1.624,7.283
0.9375,-3.268,2.394,4.083,6.015,11.876,-14.124,0.395,7.669
0.9414,-3.6,5.533,1.842,6.639,9.352,-11.455,2.202,8.651
0.9453,2.15,8.022,-0.099,5.797,10.024,-11.481,5.795,5.016
0.9492,4.596,9.408,-2.522,3.558,9.395,-5.059,13.138,7.065
0.9531,-3.473,10.652,-3.314,2.855,7.071,-5.7,11.514,10.976
0.957,-2.455,8.713,-5.814,1.805,2.121,0.831,11.577,5.223
0.9609,-2.067,5.964,-11.429,8.545,1.503,-2.886,11.151,6.79
0.9648,-0.061,10.246,-12.133,10.168,-0.822,-1.592,8.281,5.066
0.9688,-5.49,10.628,-10.379,11.306,-4.767,0.969,10.741,9.31
0.9727,-3.47,11.187,-8.926,16.03,-6.702,-1.974,7.402,4.041
0.9766,-1.228,6.083,-11.283,11.8,-8.008,2.468,11.074,4.489
0.9805,-2.871,8.68,-17.924,19.414,-5.104,-2.078,7.627,3.369
0.9844,-6.678,8.174,-17.321,17.657,-7.046,-0.914,7.217,4.307
0.9883,-8.836,3.894,-19.291,19.306,-12.911,1.747,4.004,2.555
0.9922,-13.396,5.454,-18.283,17.644,-10.939,-6.1,1.628,-2.345
0.9961,-12.128,4.311,-15.194,13.778,-14.28,-7.042,2.432,-0.469
1.0,-12.401,6.168,-22.426,15.269,-12.739,-5.435,2.857,-2.573
1.0039,-11.512,2.963,-23.93,15.341,-15.438,-2.128,9.096,-1.188
1.0078,-13.447,-8.161,-22.423,16.106,-19.2,-7.606,7.429,-3.112
1.0117,-11.7,-3.246,-18.652,14.805,-16.763,-5.107,9.799,-1.667
1.0156,-10.22,-12.216,-15.149,10.672,-15.883,-8.147,7.052,-2.091
1.0195,-10.536,-9.459,-12.378,10.695,-16.367,-8.058,5.196,2.563
1.0234,-8.235,-10.096,-8.392,15.716,-15.138,-11.897,3.221,2.269
1.0273,-7.439,-14.77,-12.615,7.097,-9.044,-13.91,6.625,4.981
1.0312,-7.469,-12.557,-5.441,10.136,-9.217,-11.821,6.083,6.463
1.0352,-10.117,-13.96,-6.988,3.573,-4.126,-13.312,8.334,7.465
1.0391,-9.707,-11.861,-3.23,2.782,-6.924,-15.325,4.741,8.848
1.043,-11.732,-11.05,-6.033,1.287,-2.221,-16.448,7.335,9.466
1.0469,-7.746,-7.883,-3.077,-5.131,-9.041,-14.208,10.145,6.385
1.0508,-8.789,-9.949,-3.359,-3.246,-3.637,-11.154,8.824,8.68
1.0547,-11.415,-11.407,-2.562,-7.731,-0.78,-8.522,11.047,9.75
1.0586,-14.396,-10.248,-8.373,-6.815,-5.919,-11.734,10.674,10.669
1.0625,-15.722,-12.061,-4.26,-7.266,-5.166,-7.818,12.001,6.537
1.0664,-10.966,-11.496,-4.799,-4.525,-5.747,-8.19,6.891,8.015
1.0703,-11.656,-13.349,-0.054,-2.385,-5.437,-8.005,5.78,7.649
1.0742,-9.589,-13.269,1.211,-5.804,-2.246,-5.881,3.445,11.76
1.0781,-12.906,-12.031,2.158,-1.763,-4.536,-7.936,1.858,11.414
1.082,-7.523,-12.176,-1.706,-5.566,-2.652,-9.058,1.023,12.992
1.0859,-9.249,-9.081,1.437,-1.81,-3.049,-10.208,5.789,11.053
1.0898,-13.038,-7.751,2.921,-1.988,-6.514,-4.982,1.139,11.105
1.0938,-11.436,-8.772,-2.681,-5.722,-9.609,-7.767,5.343,8.114
1.0977,-8.505,-4.941,1.475,-4.323,-6.389,-3.261,6.597,11.17
1.1016,-6.889,-5.629,1.173,-5.486,-7.592,-0.473,10.358,10.879
1.1055,-5.629,-9.477,-2.068,-6.823,-12.027,-4.666,10.087,10.899
1.1094,-3.529,-13.297,-3.678,-2.996,-13.697,0.303,11.048,10.444
1.1133,-1.852,-9.278,2.281,-1.848,-13.783,1.354,13.667,7.1
1.1172,1.742,-12.066,0.367,-1.455,-10.411,-0.216,12.046,10.579
1.1211,7.938,-10.412,4.454,-1.622,-9.29,-7.013,10.207,11.049
1.125,3.386,-10.03,5.78,-2.369,-6.042,-3.93,17.259,14.853
1.1289,10.472,-10.125,7.469,-3.478,-6.601,-3.135,12.785,17.288
1.1328,12.091,-10.262,4.722,-2.657,-7.351,2.464,12.932,17.263
1.1367,11.868,-4.442,4.744,-4.506,-4.254,3.978,14.237,18.109
1.1406,9.76,-4.915,6.442,1.091,-8.033,-0.738,16.659,12.26
1.1445,6.652,5.264,7.723,-8.89,-6.966,5.88,9.575,9.811
1.1484,10.922,-1.385,8.656,-9.266,-10.438,10.642,16.627,11.297
1.1523,13.67,-1.538,-1.324,-10.274,-8.621,12.358,12.974,8.284
1.1562,6.424,1.016,0.144,-4.871,-6.228,14.915,14.984,6.131
1.1602,9.932,1.846,-3.702,-10.092,-10.893,15.083,11.205,8.433
1.1641,6.373,-1.655,0.77,-4.855,-8.724,13.328,13.245,3.586
1.168,6.472,-0.438,-2.249,-4.078,-14.852,14.171,5.728,0.003
1.1719,4.738,-4.888,-1.118,-3.551,-10.061,13.202,0.765,-2.167
1.1758,6.338,-2.7,-1.059,-1.661,-7.728,13.901,-0.887,1.456
1.1797,8.806,-4.326,-0.506,-1.343,-3.025,14.061,-2.117,-1.197
1.1836,5.368,-6.992,0.176,-4.06,-9.086,12.559,-4.052,-2.853
1.1875,5.102,-3.539,1.107,-2.523,-6.316,13.592,-5.815,-3.916
1.1914,1.911,-8.266,1.145,-7.421,-6.224,9.224,-8.584,-6.278
1.1953,-0.501,-6.478,-0.767,-5.333,-9.617,5.909,-12.109,-9.073
1.1992,2.182,-5.846,3.455,-9.261,-8.027,9.271,-9.522,-9.28
1.2031,-0.004,-8.574,1.792,-9.499,-5.967,8.492,-6.485,-9.944
1.207,1.072,-8.886,4.845,-12.803,-8.441,8.711,-8.306,-9.145
1.2109,-0.837,-11.362,3.15,-8.211,-5.601,3.541,-5.938,-11.212
1.2148,0.897,-11.174,4.677,-12.225,-0.58,6.994,-8.347,-5.537
1.2188,1.45,-11.118,11.479,-9.242,0.785,2.07,-9.914,-10.34
1.2227,7.632,-9.328,17.134,-13.501,3.353,-1.756,-7.343,-4.914
1.2266,5.843,-10.574,16.792,-14.378,7.87,-3.518,-12.598,-5.21
1.2305,11.12,-8.956,17.293,-11.537,11.774,1.013,-9.601,-0.097
1.2344,9.166,-7.053,17.073,-13.418,13.731,-2.598,-5.28,0.312
1.2383,11.198,-5.345,23.521,-13.206,11.725,4.752,-3.988,1.66
1.2422,9.935,-3.174,18.731,-13.941,16.442,-0.196,-2.818,1.285
1.2461,12.386,0.154,19.032,-20.595,16.826,6.042,-6.267,-1.882
1.25,10.946,1.395,20.042,-17.56,16.355,4.758,-3.694,0.043
1.2539,6.834,4.803,12.962,-23.552,13.478,11.186,-1.27,3.258
1.2578,9.757,4.009,17.388,-17.474,12.373,8.8,0.298,-2.168
1.2617,7.234,3.401,15.314,-17.202,12.549,11.201,-2.453,-1.967
1.2656,8.717,4.814,15.951,-15.25,12.502,12.485,-3.056,0.425
1.2695,13.813,5.78,15.347,-9.897,8.928,11.616,-5.819,-1.783
1.2734,13.551,12.106,13.186,-7.408,14.128,12.492,-6.783,-1.529
1.2773,11.867,11.554,9.764,-5.488,16.037,10.094,-10.024,0.641
1.2812,10.999,10.314,9.696,-4.418,13.76,12.255,-9.045,-3.171
1.2852,11.719,14.3,6.492,-1.948,9.167,15.128,-9.93,-4.085
1.2891,7.575,12.666,8.388,0.878,6.348,11.093,-11.887,-6.913
1.293,7.696,12.313,7.996,1.362,6.364,13.316,-12.876,-9.11
1.2969,9.699,17.924,7.695,1.934,4.068,11.841,-9.375,-7.758
1.3008,11.991,14.239,3.213,1.427,4.317,13.381,-7.092,-14.777
1.3047,11.382,12.62,2.148,3.768,3.576,13.803,-4.382,-14.053
1.3086,5.69,11.184,-1.391,0.855,3.268,11.79,-2.485,-14.703
1.3125,11.019,11.669,-1.336,6.09,-2.133,11.209,-3.514,-9.702
1.3164,11.343,8.856,2.025,5.086,0.755,9.471,-5.427,-14.057
1.3203,13.611,6.694,1.776,8.75,1.195,6.553,-7.57,-12.963
