event_index,subject_id,group,recording_date,label,onset_sample,onset_time_s
9,S25,Low,2026-01-01,1,13513,26.3926
10,S25,Low,2026-01-01,2,15317,29.916
11,S25,Low,2026-01-01,2,16894,32.9961
12,S25,Low,2026-01-01,2,18199,35.5449
13,S25,Low,2026-01-01,2,20055,39.1699
14,S25,Low,2026-01-01,1,22386,43.7227
15,S25,Low,2026-01-01,1,24089,47.0488
16,S25,Low,2026-01-01,1,26313,51.3926
17,S25,Low,2026-01-01,2,27572,53.8516
18,S25,Low,2026-01-01,2,29742,58.0898
19,S25,Low,2026-01-01,2,32075,62.6465
20,S25,Low,2026-01-01,2,33316,65.0703
21,S25,Low,2026-01-01,2,35185,68.7207
22,S25,Low,2026-01-01,1,37044,72.3516
23,S25,Low,2026-01-01,2,39027,76.2246
24,S25,Low,2026-01-01,1,40522,79.1445
25,S25,Low,2026-01-01,2,41795,81.6309
26,S25,Low,2026-01-01,1,43195,84.3652
27,S25,Low,2026-01-01,2,44364,86.6484
28,S25,Low,2026-01-01,1,46719,91.248
29,S25,Low,2026-01-01,2,48198,94.1367
30,S25,Low,2026-01-01,2,50474,98.582
31,S25,Low,2026-01-01,2,52450,102.4414
32,S25,Low,2026-01-01,1,53870,105.2148
33,S25,Low,2026-01-01,2,55863,109.1074
34,S25,Low,2026-01-01,2,58047,113.373
35,S25,Low,2026-01-01,1,60286,117.7461
36,S25,Low,2026-01-01,2,61883,120.8652
37,S25,Low,2026-01-01,2,63837,124.6816
38,S25,Low,2026-01-01,1,66207,129.3105
39,S25,Low,2026-01-01,1,67738,132.3008
40,S25,Low,2026-01-01,2,69296,135.3438
41,S25,Low,2026-01-01,2,70994,138.6602
42,S25,Low,2026-01-01,2,73406,143.3711
43,S25,Low,2026-01-01,1,75086,146.6523
44,S25,Low,2026-01-01,2,76560,149.5312
45,S25,Low,2026-01-01,2,78065,152.4707
46,S25,Low,2026-01-01,1,79407,155.0918
47,S25,Low,2026-01-01,1,81078,158.3555
48,S25,Low,2026-01-01,2,82762,161.6445
49,S25,Low,2026-01-01,1,84306,164.6602
50,S25,Low,2026-01-01,1,86373,168.6973
51,S25,Low,2026-01-01,1,88487,172.8262
52,S25,Low,2026-01-01,2,89937,175.6582
53,S25,Low,2026-01-01,1,92375,180.4199
54,S25,Low,2026-01-01,2,94531,184.6309
55,S25,Low,2026-01-01,1,96665,188.7988
56,S25,Low,2026-01-01,1,98542,192.4648
57,S25,Low,2026-01-01,1,100103,195.5137
58,S25,Low,2026-01-01,2,101895,199.0137
59,S25,Low,2026-01-01,1,103762,202.6602
60,S25,Low,2026-01-01,2,106021,207.0723
61,S25,Low,2026-01-01,1,108440,211.7969
62,S25,Low,2026-01-01,1,110863,216.5293
63,S25,Low,2026-01-01,2,112290,219.3164
64,S25,Low,2026-01-01,2,113497,221.6738
65,S25,Low,2026-01-01,2,114778,224.1758
66,S25,Low,2026-01-01,2,116863,228.248
67,S25,Low,2026-01-01,1,118316,231.0859
68,S25,Low,2026-01-01,2,119542,233.4805
69,S25,Low,2026-01-01,2,121554,237.4102
70,S25,Low,2026-01-01,1,122817,239.877
71,S25,Low,2026-01-01,2,124159,242.498
72,S25,Low,2026-01-01,1,126111,246.3105
73,S25,Low,2026-01-01,1,127296,248.625
74,S25,Low,2026-01-01,2,129498,252.9258
75,S25,Low,2026-01-01,2,130773,255.416
76,S25,Low,2026-01-01,2,132613,259.0098
77,S25,Low,2026-01-01,2,135034,263.7383
78,S25,Low,2026-01-01,1,136499,266.5996
79,S25,Low,2026-01-01,1,138519,270.5449
